Mos. PA,[deg],If a rectangular mosaic was requested: Position Angle of rectangular area to be mapped as defined in the ALMA Observing Tool (OT).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mos. Spacing,"[""]",If a rectangular mosaic was requested: Spacing betweeng pointings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mos. Coord. Ref. Sys,string,"If the target is a mosaic, this field gives the coordinate system sed to define the mosaic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band,string,"ALMA Observing Band, in format ""ALMA_RB"" followed by Band ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Req. Ang. Res.,"[""]",Requested angular resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Req.LAS,"[""]",Requested largest angular scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use 7-m?,[boolean],Indicates if  observations with ACA 7-m Array are requested.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use TP?,[boolean],Indicates if observations with ACA Total Power Array are requested.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standAlone_ACA,[boolean],Indicates if observations are ACA 7-m Array only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarization,[FULL/DOUBLE/SINGLE],"Polarization products: Full, Dual or Single-X.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref.Frequency,[GHz],Reference frequency for user-requested sensitivity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref.Freq.Width,[MHz],Reference bandwidth for user-requested sensitivity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is Sky Freq?,[boolean],"Indicates if the frequencies for the spectral scan and spectral windows  are sky frequencies; If False,  the frequencies represent rest frequencies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPS Start Freq.,[GHz],If the observation is a spectral scan: Start frequency of the spectral scan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPS End Freq.,[GHz],If the observation is a spectral scan: End frequency of the spectral scan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPS Bandwidth,[MHz],If the observation is a spectral scan: bandwidth of each window in the spectral scan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPS Spec. Res.,[MHz],If the observation is a spectral scan: spectral resolution of the spectral scan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freq SPW [N],[GHz],Central  frequency in GHz for Spectral Window #N (where N = 1-16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandwidth SPW [N],[MHz],Bandwidth of spectral window #N (where N= 1-16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spec.Res SPW [N],[MHz],Spectral resolution spectral Window #N (where N = 1-16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Code,Target Name,RA,Dec,RA_HMS,Dec_DMS,Long Offset,Lat Offset,Velocity,Vel. Frame,Vel. Convention,Mosaic,Mos. Length,Mos. Width,Mos. PA,Mos. Spacing,Mos. Coord.,Band,Req. Ang. Res.,Req. LAS,Use 7-m?,Use TP?,standAlone_ACA,Polarization,Ref.Frequency,Ref.Freq.Width,Req.Sensitivity,Is Sky Freq?,SPS Start Freq.,SPS End Freq.,SPS Bandwidth,SPS Spec. Res.,Freq SPW 1,Freq SPW 2,Freq SPW 3,Freq SPW 4,Freq SPW 5,Freq SPW 6,Freq SPW 7,Freq SPW 8,Freq SPW 9,Freq SPW 10,Freq SPW 11,Freq SPW 12,Freq SPW 13,Freq SPW 14,Freq SPW 15,Freq SPW 16,Bandwidth SPW 1,Bandwidth SPW 2,Bandwidth SPW 3,Bandwidth SPW 4,Bandwidth SPW 5,Bandwidth SPW 6,Bandwidth SPW 7,Bandwidth SPW 8,Bandwidth SPW 9,Bandwidth SPW 10,Bandwidth SPW 11,Bandwidth SPW 12,Bandwidth SPW 13,Bandwidth SPW 14,Bandwidth SPW 15,Bandwidth SPW 16,Spec.Res. SPW 1,Spec.Res. SPW 2,Spec.Res. SPW 3,Spec.Res. SPW 4,Spec.Res. SPW 5,Spec.Res. SPW 6,Spec.Res. SPW 7,Spec.Res. SPW 8,Spec.Res. SPW 9,Spec.Res. SPW 10,Spec.Res. SPW 11,Spec.Res. SPW 12,Spec.Res. SPW 13,Spec.Res. SPW 14,Spec.Res. SPW 15,Spec.Res. SPW 16
,,[deg],[deg],,,[arcsec],[arcsec],[kms/s],,,,[arcsec],[arcsec],[deg],[arcsec],Ref. Sys.,,[arcsec],[arcsec],,,,,[GHz],[MHz],[mJy],,[GHz],[GHz],[GHz],[MHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[GHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz],[MHz]
2017.1.00404.S,MWC349A,308.1897,40.6601730555556,20h32m45.53s,40d39m36.6s,0,0,10,lsrk,RADIO,,0,0,0,0,,ALMA_RB_06,0.03,0.2,0,0,0,DOUBLE,231.893192417684,0.2822265625,5,0,,,,,218,216,231.9009278,231.9,,,,,,,,,,,,,1875,1875,500,1875,,,,,,,,,,,,,31.25,31.25,0.282123608623337,1.12849443449335,,,,,,,,,,,,
2019.1.00003.S,MACS0454_1251,73.535653,-3.004116,4h54m08.56s,-3d00m14.8s,0,0,288816.342142022,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_06,0.3,0.3,0,0,1,DOUBLE,259.515084502411,62.5,0.66,0,,,,,1783.76441439071,1798.73347652076,1914.12121767583,1900.5369,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,7.8125,7.8125,,,,,,,,,,,,
2019.1.00003.S,MACS1423-z7p64,215.94241,24.06965,14h23m46.18s,24d04m10.7s,0,0,291866.640599776,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_06,0.3,0.3,0,0,1,DOUBLE,219.979194263503,62.5,0.76,0,,,,,2028.58304675009,2013.03172867449,1916.26797175967,1900.5369,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,7.8125,7.8125,,,,,,,,,,,,
2019.1.00003.S,MACS2129_1412,322.35094,-7.693322,21h29m24.23s,-7d41m36.0s,0,0,290208.256626707,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_06,0.3,0.3,0,0,1,DOUBLE,242.237612781679,62.5,0.1,0,,,,,1785.71079014716,1800.71079014533,1915.16442486544,1900.5369,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,7.8125,7.8125,,,,,,,,,,,,
2019.1.00003.S,RXJ1347_018,206.89124,-11.75261,13h47m33.90s,-11d45m09.4s,0,0,290923.110692547,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_06,0.3,0.3,0,0,1,DOUBLE,232.88457225465,62.5,0.34,0,,,,,1786.30160050285,1801.3016005006,1915.75222187863,1900.5369,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,7.8125,7.8125,,,,,,,,,,,,
2019.1.00014.S,circinus_galaxy,213.29145,-65.3391805555556,14h13m09.95s,-65d20m21.1s,0,0,445,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_07,0.1,1.5,0,0,0,DOUBLE,345.2,23.0292651324804,1.22,0,,,,,357.7161,355.833986002,345.718806551901,343.7975,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,3.90372658268734,3.90372658268734,3.90372658268734,3.90372658268734,,,,,,,,,,,,
2019.1.00014.S,circinus_galaxy,213.29145,-65.3391805555556,14h13m09.95s,-65d20m21.1s,0,0,445,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_08,0.1,1.5,0,0,0,DOUBLE,491.5,32.7893505579784,1.55,0,,,,,492.23868314096,490.611363238348,480.220648150743,478.3291,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,3.90372658268734,3.90372658268734,3.90372658268734,3.90372658268734,,,,,,,,,,,,
2019.1.00041.S,BetaPic_bottom,86.8204283333333,-51.067065,5h47m16.90s,-51d04m01.4s,0,2.28999937065373E-11,19.9993329163073,lsrk,RADIO,,0,0,0,0,,ALMA_RB_07,0.9,3,0,0,0,FULL,336.5,7500,0.02,1,,,,,350.4999999999,348.5000000001,338.4999999999,336.5000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,
2019.1.00041.S,BetaPic_ctr,86.8210916666667,-51.0663416666667,5h47m17.06s,-51d03m58.8s,0,2.28999937065373E-11,19.9993329163073,hel,RADIO,,0,0,0,0,,ALMA_RB_07,0.9,3,0,0,0,FULL,336.5,7500,0.02,1,,,,,350.4999999999,348.5000000001,338.4999999999,336.5000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,
2019.1.00041.S,BetaPic_top,86.8217545833333,-51.0656177777778,5h47m17.22s,-51d03m56.2s,0,2.28999937065373E-11,19.9993329163073,hel,RADIO,,0,0,0,0,,ALMA_RB_07,0.9,3,0,0,0,FULL,336.5,7500,0.02,1,,,,,350.4999999999,348.5000000001,338.4999999999,336.5000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,62.5,62.5,62.5,62.5,,,,,,,,,,,,
2019.1.00061.S,MACS0416-JD,64.0479166666667,-24.0808611111111,4h16m11.50s,-24d04m51.1s,0,0,294247.035761336,lsrk,RELATIVISTIC,,0,0,0,0,,ALMA_RB_07,0.6,0.6,0,0,0,DOUBLE,329.567,31.25,0.35,0,,,,,3553.02891584096,3535.4328487651,3428.82138354076,3411.2253164649,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00063.S,AB_Aur,73.9410254166667,30.5511925,4h55m45.85s,30d33m04.3s,0,0,0,lsrk,RADIO,Rectangle,165,165,0,8.60367526254029,ICRS,ALMA_RB_07,4.44485578341784,20,1,0,1,DOUBLE,345.785403203377,1.15341595152263,193.26283561102,0,,,,,332.5,343.5,330.5879653,345.79599,,,,,,,,,,,,,1875,1875,62.5,62.5,,,,,,,,,,,,,1.12849443449335,1.12849443449335,0.06056637624808,0.06056637624808,,,,,,,,,,,,
2019.1.00100.S,ALESS001.1,53.31025,-27.9373666666667,3h33m14.46s,-27d56m14.5s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS002.1,53.2612083333333,-27.9452111111111,3h33m02.69s,-27d56m42.8s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS003.1,53.3395833333333,-27.9223027777778,3h33m21.50s,-27d55m20.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS005.1,52.8704583333333,-27.9858388888889,3h31m28.91s,-27d59m09.0s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS006.1,53.2373333333333,-28.0168555555556,3h32m56.96s,-28d01m00.7s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS007.1,53.31425,-27.75675,3h33m15.42s,-27d45m24.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS009.1,53.04725,-27.8699805555556,3h32m11.34s,-27d52m11.9s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS010.1,53.0794166666667,-27.8707805555556,3h32m19.06s,-27d52m14.8s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS011.1,53.0577083333333,-27.9334027777778,3h32m13.85s,-27d56m00.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS013.1,53.204125,-27.7143888888889,3h32m48.99s,-27d42m51.8s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS014.1,52.9687083333333,-28.0553,3h31m52.49s,-28d03m19.1s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS015.1,53.3890416666667,-27.9915472222222,3h33m33.37s,-27d59m29.6s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS017.1,53.0304166666667,-27.8557638888889,3h32m07.30s,-27d51m20.8s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS018.1,53.0203333333333,-27.7799277777778,3h32m04.88s,-27d46m47.7s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS019.1,53.0344166666667,-27.9706083333333,3h32m08.26s,-27d58m14.2s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS022.1,52.9455,-27.54425,3h31m46.92s,-27d32m39.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS023.1,53.0500416666667,-28.0851277777778,3h32m12.01s,-28d05m06.5s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS025.1,52.987,-27.9942583333333,3h31m56.88s,-27d59m39.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS029.1,53.40375,-27.9692583333333,3h33m36.90s,-27d58m09.3s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS031.1,52.9574583333333,-27.9613222222222,3h31m49.79s,-27d57m40.8s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS035.1,52.7937916666667,-27.62095,3h31m10.51s,-27d37m15.4s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS037.1,53.4005833333333,-27.8973833333333,3h33m36.14s,-27d53m50.6s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS039.1,52.937625,-27.5768722222222,3h31m45.03s,-27d34m36.7s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS041.1,52.7919583333333,-27.87685,3h31m10.07s,-27d52m36.7s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS043.1,53.2776666666667,-27.8006777777778,3h33m06.64s,-27d48m02.4s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS045.1,53.10525,-27.8751472222222,3h32m25.26s,-27d52m30.5s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
2019.1.00100.S,ALESS049.1,52.853,-27.8464055555556,3h31m24.72s,-27d50m47.1s,0,0,0,lsrk,RADIO,,0,0,0,0,,ALMA_RB_09,0.49,1,0,0,0,DOUBLE,681.9999999999,15000,1.5,1,,,,,681.9999999999,680,678,676.0000000001,,,,,,,,,,,,,1875,1875,1875,1875,,,,,,,,,,,,,31.25,31.25,31.25,31.25,,,,,,,,,,,,
